file	label
0.png	Bananas, apples & pears
1.png	Berries & cherries
2.jpeg	Pork, beef & lamb
3.png	Berries & cherries
4.jpeg	Bell peppers, zucchinis & eggplants
5.jpeg	Pudding, yogurt & quark
6.png	Bell peppers, zucchinis & eggplants
7.png	Minced meat & meatballs
8.jpeg	Pork, beef & lamb
9.png	Bananas, apples & pears
10.jpeg	Eggs
11.jpeg	Bell peppers, zucchinis & eggplants
12.png	Bananas, apples & pears
13.jpeg	Cucumber, tomatoes & avocados
14.png	Citrus fruits
15.png	Bananas, apples & pears
16.png	Cucumber, tomatoes & avocados
17.jpeg	Citrus fruits
18.png	Pork, beef & lamb
19.jpeg	Fish
20.png	Bell peppers, zucchinis & eggplants
21.png	Onions, leek, garlic & beets
22.jpeg	Bananas, apples & pears
23.png	Kiwis, grapes & mango
24.jpeg	Fresh bread
25.jpeg	Cheese
26.jpeg	Pork, beef & lamb
27.png	Salad & cress
28.png	Pre-baked breads
29.jpeg	Pre-baked breads
30.jpeg	Pre-baked breads
31.png	Salad & cress
32.png	Fresh herbs
33.png	Salad & cress
34.png	Bananas, apples & pears
35.jpeg	Nectarines, peaches & apricots
36.png	Bananas, apples & pears
37.png	Cucumber, tomatoes & avocados
38.jpeg	Lunch & Deli Meats
39.png	Kiwis, grapes & mango
40.jpeg	Minced meat & meatballs
41.png	Kiwis, grapes & mango
42.png	Bell peppers, zucchinis & eggplants
43.png	Cucumber, tomatoes & avocados
44.png	Milk
45.jpeg	Cheese
46.jpeg	Pork, beef & lamb
47.png	Berries & cherries
48.png	Potatoes
49.png	Cucumber, tomatoes & avocados
50.png	Broccoli, cauliflowers, carrots & radish
51.png	Asparagus, string beans & brussels sprouts
52.jpeg	Pre-baked breads
53.jpeg	Fresh herbs
54.jpeg	Cheese
55.jpeg	Nectarines, peaches & apricots
56.jpeg	Salad & cress
57.jpeg	Fish
58.png	Berries & cherries
59.png	Kiwis, grapes & mango
60.png	Kiwis, grapes & mango
61.png	Nectarines, peaches & apricots
62.png	Bell peppers, zucchinis & eggplants
63.png	Minced meat & meatballs
64.jpeg	Cheese
65.png	Bananas, apples & pears
66.png	Bananas, apples & pears
67.jpeg	Cucumber, tomatoes & avocados
68.jpeg	Cheese
69.jpeg	Bell peppers, zucchinis & eggplants
70.png	Bananas, apples & pears
71.png	Bananas, apples & pears
72.jpeg	Poultry
73.png	Pre-baked breads
74.jpeg	Fresh bread
75.png	Eggs
76.jpeg	Pre-baked breads
77.png	Eggs
78.png	Pre-baked breads
79.jpeg	Cheese
80.png	Bananas, apples & pears
81.jpeg	Pork, beef & lamb
82.png	Broccoli, cauliflowers, carrots & radish
83.png	Pre-baked breads
